Country,schools_universities,travel_restrictions,public_events,sport,lockdown,social_distancing_encouraged,self_isolating_if_ill
Austria,3/14/2020,3/13/2020,3/10/2020,3/15/2020,3/16/2020,3/16/2020,3/16/2020
Belgium,3/14/2020,3/19/2020,3/12/2020,3/14/2020,3/18/2020,3/14/2020,3/10/2020
Denmark,3/13/2020,3/13/2020,3/12/2020,3/12/2020,3/18/2020,3/13/2020,3/12/2020
France,3/14/2020,3/17/2020,3/13/2020,2/13/2020,3/17/2020,3/16/2020,3/16/2020
Germany,3/14/2020,3/16/2020,3/22/2020,3/13/2020,3/22/2020,3/12/2020,3/6/2020
Italy,3/5/2020,3/9/2020,3/9/2020,3/9/2020,3/11/2020,3/9/2020,3/9/2020
Norway,3/13/2020,3/13/2020,3/12/2020,3/13/2020,3/24/2020,3/16/2020,3/15/2020
Spain,3/13/2020,3/12/2020,3/14/2020,3/13/2020,3/14/2020,3/9/2020,3/17/2020
Sweden,3/18/2020,3/19/2020,3/12/2020,3/12/2020,3/21/2090,3/16/2020,3/10/2020
Switzerland,3/14/2020,3/18/2020,3/13/2020,3/16/2020,3/20/2020,3/16/2020,3/2/2020
United_Kingdom,3/21/2020,3/24/2020,3/24/2020,3/13/2020,3/24/2020,3/16/2020,3/12/2020
Colombia, 3/26/2020,3/26/2020,3/26/2020,3/26/2020,3/26/2020,3/26/2020,3/26/2020